ID,"CubeId;""rendopar"""
1,"PublishingDate;""2018-04-03 14:30"""
2,
3,"Date;""d0"";""Value"""
610,"1988-05-24;""b0"";""4.269"""
611,"1988-05-24;""b1"";""-2.657"""
612,"1988-05-24;""b2"";""0.206"""
613,"1988-05-24;""b3"";""1.636"""
614,"1988-05-24;""t1"";""0.996"""
615,"1988-05-24;""t2"";""0.122"""
616,"1988-05-25;""b0"";"
617,"1988-05-25;""b1"";"
618,"1988-05-25;""b2"";"
619,"1988-05-25;""b3"";"
620,"1988-05-25;""t1"";"
621,"1988-05-25;""t2"";"
622,"1988-05-26;""b0"";"
623,"1988-05-26;""b1"";"
624,"1988-05-26;""b2"";"
625,"1988-05-26;""b3"";"
626,"1988-05-26;""t1"";"
627,"1988-05-26;""t2"";"
628,"1988-05-27;""b0"";"
629,"1988-05-27;""b1"";"
630,"1988-05-27;""b2"";"
631,"1988-05-27;""b3"";"
632,"1988-05-27;""t1"";"
633,"1988-05-27;""t2"";"
634,"1988-05-30;""b0"";""4.226"""
635,"1988-05-30;""b1"";""-1.514"""
636,"1988-05-30;""b2"";""-2.809"""
637,"1988-05-30;""b3"";""0.048"""
638,"1988-05-30;""t1"";""0.401"""
639,"1988-05-30;""t2"";""1.329"""
640,"1988-05-31;""b0"";""4.311"""
641,"1988-05-31;""b1"";""-1.598"""
642,"1988-05-31;""b2"";""-1.742"""
643,"1988-05-31;""b3"";""-0.449"""
644,"1988-05-31;""t1"";""0.425"""
645,"1988-05-31;""t2"";""3.696"""
646,"1988-06-01;""b0"";"
647,"1988-06-01;""b1"";"
648,"1988-06-01;""b2"";"
649,"1988-06-01;""b3"";"
650,"1988-06-01;""t1"";"
651,"1988-06-01;""t2"";"
652,"1988-06-02;""b0"";"
653,"1988-06-02;""b1"";"
654,"1988-06-02;""b2"";"
655,"1988-06-02;""b3"";"
656,"1988-06-02;""t1"";"
657,"1988-06-02;""t2"";"
658,"1988-06-03;""b0"";"
659,"1988-06-03;""b1"";"
660,"1988-06-03;""b2"";"
661,"1988-06-03;""b3"";"
662,"1988-06-03;""t1"";"
663,"1988-06-03;""t2"";"
664,"1988-06-06;""b0"";""4.273"""
665,"1988-06-06;""b1"";""-2.292"""
666,"1988-06-06;""b2"";""-2.217"""
667,"1988-06-06;""b3"";""1.733"""
668,"1988-06-06;""t1"";""0.444"""
669,"1988-06-06;""t2"";""0.163"""
670,"1988-06-07;""b0"";"
671,"1988-06-07;""b1"";"
672,"1988-06-07;""b2"";"
673,"1988-06-07;""b3"";"
674,"1988-06-07;""t1"";"
675,"1988-06-07;""t2"";"
676,"1988-06-08;""b0"";"
677,"1988-06-08;""b1"";"
678,"1988-06-08;""b2"";"
679,"1988-06-08;""b3"";"
680,"1988-06-08;""t1"";"
681,"1988-06-08;""t2"";"
682,"1988-06-09;""b0"";"
683,"1988-06-09;""b1"";"
684,"1988-06-09;""b2"";"
685,"1988-06-09;""b3"";"
686,"1988-06-09;""t1"";"
687,"1988-06-09;""t2"";"
688,"1988-06-10;""b0"";"
689,"1988-06-10;""b1"";"
690,"1988-06-10;""b2"";"
691,"1988-06-10;""b3"";"
692,"1988-06-10;""t1"";"
693,"1988-06-10;""t2"";"
694,"1988-06-13;""b0"";""4.559"""
695,"1988-06-13;""b1"";""-2.212"""
696,"1988-06-13;""b2"";""-0.864"""
697,"1988-06-13;""b3"";""2.564"""
698,"1988-06-13;""t1"";""3.084"""
699,"1988-06-13;""t2"";""1.297"""
700,"1988-06-14;""b0"";"
701,"1988-06-14;""b1"";"
702,"1988-06-14;""b2"";"
703,"1988-06-14;""b3"";"
704,"1988-06-14;""t1"";"
705,"1988-06-14;""t2"";"
706,"1988-06-15;""b0"";"
707,"1988-06-15;""b1"";"
708,"1988-06-15;""b2"";"
709,"1988-06-15;""b3"";"
710,"1988-06-15;""t1"";"
711,"1988-06-15;""t2"";"
712,"1988-06-16;""b0"";"
713,"1988-06-16;""b1"";"
714,"1988-06-16;""b2"";"
715,"1988-06-16;""b3"";"
716,"1988-06-16;""t1"";"
717,"1988-06-16;""t2"";"
718,"1988-06-17;""b0"";"
719,"1988-06-17;""b1"";"
720,"1988-06-17;""b2"";"
721,"1988-06-17;""b3"";"
722,"1988-06-17;""t1"";"
723,"1988-06-17;""t2"";"
724,"1988-06-20;""b0"";""4.422"""
725,"1988-06-20;""b1"";""-1.892"""
726,"1988-06-20;""b2"";""-0.086"""
727,"1988-06-20;""b3"";""1.872"""
728,"1988-06-20;""t1"";""1.974"""
729,"1988-06-20;""t2"";""0.248"""
730,"1988-06-21;""b0"";"
731,"1988-06-21;""b1"";"
732,"1988-06-21;""b2"";"
733,"1988-06-21;""b3"";"
734,"1988-06-21;""t1"";"
735,"1988-06-21;""t2"";"
736,"1988-06-22;""b0"";"
737,"1988-06-22;""b1"";"
738,"1988-06-22;""b2"";"
739,"1988-06-22;""b3"";"
740,"1988-06-22;""t1"";"
741,"1988-06-22;""t2"";"
742,"1988-06-23;""b0"";"
743,"1988-06-23;""b1"";"
744,"1988-06-23;""b2"";"
745,"1988-06-23;""b3"";"
746,"1988-06-23;""t1"";"
747,"1988-06-23;""t2"";"
748,"1988-06-24;""b0"";"
749,"1988-06-24;""b1"";"
750,"1988-06-24;""b2"";"
751,"1988-06-24;""b3"";"
752,"1988-06-24;""t1"";"
753,"1988-06-24;""t2"";"
